Domain Code,Domain,Reporter Country Code (FAO),Reporter Countries,Partner Country Code (FAO),Partner Countries,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,101,Indonesia,27,Bulgaria,5610,Import Quantity,15,Wheat,2018,2018,tonnes,507,,Official data
TM,Detailed trade matrix,101,Indonesia,27,Bulgaria,5610,Import Quantity,15,Wheat,2019,2019,tonnes,146743,,Official data
TM,Detailed trade matrix,101,Indonesia,27,Bulgaria,5610,Import Quantity,15,Wheat,2020,2020,tonnes,129365,,Official data
TM,Detailed trade matrix,101,Indonesia,33,Canada,5610,Import Quantity,15,Wheat,2016,2016,tonnes,1658441,,Official data
TM,Detailed trade matrix,101,Indonesia,33,Canada,5610,Import Quantity,15,Wheat,2017,2017,tonnes,1510029,,Official data
TM,Detailed trade matrix,101,Indonesia,33,Canada,5610,Import Quantity,15,Wheat,2018,2018,tonnes,1973706,,Official data
TM,Detailed trade matrix,101,Indonesia,33,Canada,5610,Import Quantity,15,Wheat,2019,2019,tonnes,2687246,Im,FAO data based on imputation methodology
TM,Detailed trade matrix,101,Indonesia,33,Canada,5610,Import Quantity,15,Wheat,2020,2020,tonnes,2336601,,Official data
TM,Detailed trade matrix,101,Indonesia,96,"China, Hong Kong SAR",5610,Import Quantity,15,Wheat,2018,2018,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,59,Egypt,5610,Import Quantity,15,Wheat,2020,2020,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,63,Estonia,5610,Import Quantity,15,Wheat,2017,2017,tonnes,4206,,Official data
TM,Detailed trade matrix,101,Indonesia,63,Estonia,5610,Import Quantity,15,Wheat,2018,2018,tonnes,1972,,Official data
TM,Detailed trade matrix,101,Indonesia,68,France,5610,Import Quantity,15,Wheat,2016,2016,tonnes,267773,,Official data
TM,Detailed trade matrix,101,Indonesia,79,Germany,5610,Import Quantity,15,Wheat,2018,2018,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,79,Germany,5910,Export Quantity,15,Wheat,2019,2019,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,97,Hungary,5610,Import Quantity,15,Wheat,2016,2016,tonnes,3756,,Official data
TM,Detailed trade matrix,101,Indonesia,100,India,5610,Import Quantity,15,Wheat,2019,2019,tonnes,1,,Official data
TM,Detailed trade matrix,101,Indonesia,110,Japan,5610,Import Quantity,15,Wheat,2017,2017,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,110,Japan,5610,Import Quantity,15,Wheat,2018,2018,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,110,Japan,5610,Import Quantity,15,Wheat,2019,2019,tonnes,1,,Official data
TM,Detailed trade matrix,101,Indonesia,110,Japan,5610,Import Quantity,15,Wheat,2020,2020,tonnes,0,,Official data
TM,Detailed trade matrix,101,Indonesia,119,Latvia,5610,Import Quantity,15,Wheat,2016,2016,tonnes,55000,,Official data
TM,Detailed trade matrix,101,Indonesia,126,Lithuania,5610,Import Quantity,15,Wheat,2019,2019,tonnes,0,,Official data
